Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.25199088,.04135561,1.1062760e-09,.17093538,.33304641
0,2,.25402585,.044338413,1.0087549e-08,.16712417,.34092754
0,3,.2957997,.051929966,1.2255917e-08,.19401884,.39758056
0,4,.27358049,.053026956,2.4791191e-07,.16964957,.37751141
0,5,.23127988,.051913779,8.3863069e-06,.12953074,.333029
1,1,.30358946,.086180143,.00042712476,.13467948,.47249943
1,2,.27973586,.054975145,3.6108537e-07,.17198656,.38748518
1,3,.24319275,.054480236,8.0492000e-06,.13641346,.34997204
1,4,.28682837,.057086486,5.0486875e-07,.17494093,.39871582
1,5,.24683471,.056323893,.000011737071,.1364419,.3572275
